source_file,line_number,raw_line,cleaned_name,metadata
2006_07_text.txt,358,Claudette Leslie,Claudette Leslie,
2006_07_text.txt,368,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,371,Michelle M. Lomazzo,Michelle M. Lomazzo,
2006_07_text.txt,381,Olga Luftig,Olga Luftig,
2006_07_text.txt,388,Wayne MacKinnon,Wayne MacKinnon,
2006_07_text.txt,398,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,404,Ina Maher,Ina Maher,
2006_07_text.txt,405,(Part-time),,Part-time
2006_07_text.txt,414,Ieva Martin,Ieva Martin,
2006_07_text.txt,423,Debra Mattina,Debra Mattina,
2006_07_text.txt,429,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,435,Brian McKee,Brian McKee,
2006_07_text.txt,441,Jim McMaster,Jim McMaster,
2006_07_text.txt,448,Alan Mervin,Alan Mervin,
2006_07_text.txt,449,(Part-time),,Part-time
2006_07_text.txt,459,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,462,Beatrice Metzler,Beatrice Metzler,
2006_07_text.txt,463,(Part-time),,Part-time
2006_07_text.txt,473,Christina Budweth Mingay,Christina Budweth Mingay,
2006_07_text.txt,474,(Part-time),,Part-time
2006_07_text.txt,481,Gerald Naud,Gerald Naud,
2006_07_text.txt,491,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,494,Lynn Neil,Lynn Neil,
2006_07_text.txt,495,(Part-time),,Part-time
2006_07_text.txt,505,Patrice C. Noé,Patrice C. Noé,
2006_07_text.txt,506,(Part-time to Full-time),,Part-time to Full-time
2006_07_text.txt,515,John Nolan,John Nolan,
2006_07_text.txt,516,(Part-time),,Part-time
2006_07_text.txt,526,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,529,Babatunde Olokun,Babatunde Olokun,
2006_07_text.txt,537,Jean-Paul Pilon,Jean-Paul Pilon,
2006_07_text.txt,538,(Part-time),,Part-time
2006_07_text.txt,548,Lloyd Phillipps,Lloyd Phillipps,
2006_07_text.txt,556,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,564,Jana Rozehnal,Jana Rozehnal,
2006_07_text.txt,571,Egya Sangmuah,Egya Sangmuah,
2006_07_text.txt,580,Freda Shamatutu,Freda Shamatutu,
2006_07_text.txt,588,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,598,Andi Shi,Andi Shi,
2006_07_text.txt,608,Yasmeen Siddiqui,Yasmeen Siddiqui,
2006_07_text.txt,620,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,623,Michael G. Soo,Michael G. Soo,
2006_07_text.txt,624,(Part-time),,Part-time
2006_07_text.txt,632,Nina Stanwick,Nina Stanwick,
2006_07_text.txt,642,Valarie Steele,Valarie Steele,
2006_07_text.txt,651,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,657,Najibullah Tahiri,Najibullah Tahiri,
2006_07_text.txt,671,Gerald Taylor,Gerald Taylor,
2006_07_text.txt,681,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,684,Christopher Trueman,Christopher Trueman,
2006_07_text.txt,693,Jeanie Theoharis,Jeanie Theoharis,
2006_07_text.txt,702,Elizabeth Usprich,Elizabeth Usprich,
2006_07_text.txt,710,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,713,Jonelle van Delft,Jonelle van Delft,
2006_07_text.txt,719,Rosa Votta,Rosa Votta,
2006_07_text.txt,726,Brad Wallace,Brad Wallace,
2006_07_text.txt,734,Karen Wallace,Karen Wallace,
2006_07_text.txt,740,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,746,William Weissglas,William Weissglas,
2006_07_text.txt,747,(Part-time),,Part-time
2006_07_text.txt,760,Mike Welsh,Mike Welsh,
2006_07_text.txt,761,(Part-time to Full-time),,Part-time to Full-time
2006_07_text.txt,773,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,776,Karol Wronecki,Karol Wronecki,
2006_07_text.txt,777,(Part-time),,Part-time
2005_06_text.txt,1,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,34,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,38,Elizabeth Beckett,Elizabeth Beckett,
2005_06_text.txt,44,Eli Fellman,Eli Fellman,
2005_06_text.txt,50,Régent Gagnon,Régent Gagnon,
2005_06_text.txt,59,Charles Gascoyne,Charles Gascoyne,
2005_06_text.txt,66,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,69,Murray Wm. Graham,Murray Wm. Graham,
2005_06_text.txt,75,Guy Savoie,Guy Savoie,
2005_06_text.txt,82,Joseph A. Berkovits,Joseph A. Berkovits,
2005_06_text.txt,87,Elizabeth Brown,Elizabeth Brown,
2005_06_text.txt,92,Enza Buffa,Enza Buffa,
2005_06_text.txt,100,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,105,Kim Bugby,Kim Bugby,
2005_06_text.txt,112,William Burke,William Burke,
2005_06_text.txt,133,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
