report_id,app_code,description,metric_id,value,data_status
2020_2021,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2020_2021,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,22,reported
2020_2021,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2020_2021,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2021_2022,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,124,reported
2021_2022,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2021_2022,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2021_2022,C1/2,Combined C1 and C2 Applications,cases,61,reported
2021_2022,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2021_2022,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2021_2022,C2,End the Occupancy of the Member Unit and Evict the Member,cases,67,reported
2021_2022,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2021_2022,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2021_2022,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,3,reported
2021_2022,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2021_2022,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2021_2022,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,45,reported
2021_2022,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2021_2022,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2022_2023,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,230,reported
2022_2023,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2022_2023,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2022_2023,C1/2,Combined C1 and C2 Applications,cases,98,reported
2022_2023,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2022_2023,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2022_2023,C2,End the Occupancy of the Member Unit and Evict the Member,cases,131,reported
2022_2023,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2022_2023,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2022_2023,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,1,reported
2022_2023,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2022_2023,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2022_2023,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,41,reported
2022_2023,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2022_2023,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
