report_id,region_id,metric_id,value,unit,notes
2011_2012,region_southwestern,total_resolved,12700,applications,
2011_2012,region_torontoNorth,total_resolved,11142,applications,
2011_2012,region_torontoEast,total_resolved,13449,applications,
2011_2012,region_torontoSouth,total_resolved,12164,applications,
2012_2013,region_central,total_resolved,,applications,
2012_2013,region_eastern,total_resolved,,applications,
2012_2013,region_northern,total_resolved,,applications,
2012_2013,region_southern,total_resolved,,applications,
2012_2013,region_southwestern,total_resolved,,applications,
2012_2013,region_torontoNorth,total_resolved,,applications,
2012_2013,region_torontoEast,total_resolved,,applications,
2012_2013,region_torontoSouth,total_resolved,,applications,
2013_2014,region_central,total_resolved,8904,applications,
2013_2014,region_eastern,total_resolved,8267,applications,
2013_2014,region_northern,total_resolved,3720,applications,
2013_2014,region_southern,total_resolved,11346,applications,
2013_2014,region_southwestern,total_resolved,13146,applications,
2013_2014,region_torontoNorth,total_resolved,11509,applications,
2013_2014,region_torontoEast,total_resolved,13225,applications,
2013_2014,region_torontoSouth,total_resolved,12009,applications,
1998_1999,region_central,total_unresolved,889,applications,
1998_1999,region_eastern,total_unresolved,939,applications,
1998_1999,region_northern,total_unresolved,216,applications,
1998_1999,region_southern,total_unresolved,752,applications,
1998_1999,region_southwestern,total_unresolved,882,applications,
1998_1999,region_torontoNorth,total_unresolved,612,applications,
1998_1999,region_torontoEast,total_unresolved,735,applications,
1998_1999,region_torontoSouth,total_unresolved,1046,applications,
1999_2000,region_central,total_unresolved,858,applications,
1999_2000,region_eastern,total_unresolved,849,applications,
1999_2000,region_northern,total_unresolved,238,applications,
1999_2000,region_southern,total_unresolved,660,applications,
1999_2000,region_southwestern,total_unresolved,671,applications,
1999_2000,region_torontoNorth,total_unresolved,274,applications,
1999_2000,region_torontoEast,total_unresolved,810,applications,
1999_2000,region_torontoSouth,total_unresolved,957,applications,
2000_2001,region_central,total_unresolved,136,applications,
2000_2001,region_eastern,total_unresolved,638,applications,
2000_2001,region_northern,total_unresolved,193,applications,
2000_2001,region_southern,total_unresolved,598,applications,
2000_2001,region_southwestern,total_unresolved,783,applications,
2000_2001,region_torontoNorth,total_unresolved,53,applications,
2000_2001,region_torontoEast,total_unresolved,673,applications,
2000_2001,region_torontoSouth,total_unresolved,462,applications,
2001_2002,region_central,total_unresolved,182,applications,
2001_2002,region_eastern,total_unresolved,891,applications,
2001_2002,region_northern,total_unresolved,218,applications,
2001_2002,region_southern,total_unresolved,681,applications,
2001_2002,region_southwestern,total_unresolved,951,applications,
2001_2002,region_torontoNorth,total_unresolved,121,applications,
2001_2002,region_torontoEast,total_unresolved,1031,applications,
2001_2002,region_torontoSouth,total_unresolved,603,applications,
2002_2003,region_central,total_unresolved,615,applications,
2002_2003,region_eastern,total_unresolved,877,applications,
2002_2003,region_northern,total_unresolved,215,applications,
2002_2003,region_southern,total_unresolved,622,applications,
2002_2003,region_southwestern,total_unresolved,971,applications,
2002_2003,region_torontoNorth,total_unresolved,624,applications,
2002_2003,region_torontoEast,total_unresolved,1180,applications,
2002_2003,region_torontoSouth,total_unresolved,1210,applications,
2003_2004,region_central,total_unresolved,694,applications,
2003_2004,region_eastern,total_unresolved,768,applications,
2003_2004,region_northern,total_unresolved,280,applications,
2003_2004,region_southern,total_unresolved,627,applications,
2003_2004,region_southwestern,total_unresolved,849,applications,
2003_2004,region_torontoNorth,total_unresolved,577,applications,
2003_2004,region_torontoEast,total_unresolved,949,applications,
2003_2004,region_torontoSouth,total_unresolved,1045,applications,
2004_2005,region_central,total_unresolved,1131,applications,
2004_2005,region_eastern,total_unresolved,1104,applications,
2004_2005,region_northern,total_unresolved,340,applications,
2004_2005,region_southern,total_unresolved,1137,applications,
2004_2005,region_southwestern,total_unresolved,1790,applications,
2004_2005,region_torontoNorth,total_unresolved,1136,applications,
2004_2005,region_torontoEast,total_unresolved,1679,applications,
2004_2005,region_torontoSouth,total_unresolved,1887,applications,
2005_2006,region_central,total_unresolved,0,applications,
2005_2006,region_eastern,total_unresolved,0,applications,
2005_2006,region_northern,total_unresolved,145,applications,
2005_2006,region_southern,total_unresolved,294,applications,
2005_2006,region_southwestern,total_unresolved,152,applications,
2005_2006,region_torontoNorth,total_unresolved,0,applications,
2005_2006,region_torontoEast,total_unresolved,0,applications,
2005_2006,region_torontoSouth,total_unresolved,103,applications,
2006_2007,region_central,total_unresolved,0,applications,
2006_2007,region_eastern,total_unresolved,0,applications,
2006_2007,region_northern,total_unresolved,0,applications,
2006_2007,region_southern,total_unresolved,0,applications,
2006_2007,region_southwestern,total_unresolved,0,applications,
2006_2007,region_torontoNorth,total_unresolved,0,applications,
2006_2007,region_torontoEast,total_unresolved,0,applications,
2006_2007,region_torontoSouth,total_unresolved,0,applications,
2007_2008,region_central,total_unresolved,0,applications,
2007_2008,region_eastern,total_unresolved,0,applications,
2007_2008,region_northern,total_unresolved,200,applications,
2007_2008,region_southern,total_unresolved,426,applications,
2007_2008,region_southwestern,total_unresolved,371,applications,
2007_2008,region_torontoNorth,total_unresolved,0,applications,
2007_2008,region_torontoEast,total_unresolved,1144,applications,
2007_2008,region_torontoSouth,total_unresolved,1002,applications,
2008_2009,region_central,total_unresolved,95,applications,
2008_2009,region_eastern,total_unresolved,0,applications,
2008_2009,region_northern,total_unresolved,221,applications,
2008_2009,region_southern,total_unresolved,355,applications,
2008_2009,region_southwestern,total_unresolved,710,applications,
2008_2009,region_torontoNorth,total_unresolved,100,applications,
2008_2009,region_torontoEast,total_unresolved,1439,applications,
2008_2009,region_torontoSouth,total_unresolved,1425,applications,
2009_2010,region_central,total_unresolved,768,applications,
2009_2010,region_eastern,total_unresolved,1094,applications,
2009_2010,region_northern,total_unresolved,316,applications,
2009_2010,region_southern,total_unresolved,881,applications,
2009_2010,region_southwestern,total_unresolved,1322,applications,
2009_2010,region_torontoNorth,total_unresolved,716,applications,
2009_2010,region_torontoEast,total_unresolved,1655,applications,
2009_2010,region_torontoSouth,total_unresolved,1414,applications,
2010_2011,region_central,total_unresolved,915,applications,
2010_2011,region_eastern,total_unresolved,1073,applications,
2010_2011,region_northern,total_unresolved,396,applications,
2010_2011,region_southern,total_unresolved,964,applications,
2010_2011,region_southwestern,total_unresolved,1431,applications,
2010_2011,region_torontoNorth,total_unresolved,1070,applications,
2010_2011,region_torontoEast,total_unresolved,2299,applications,
2010_2011,region_torontoSouth,total_unresolved,1992,applications,
2011_2012,region_central,total_unresolved,962,applications,
2011_2012,region_eastern,total_unresolved,1158,applications,
2011_2012,region_northern,total_unresolved,433,applications,
2011_2012,region_southern,total_unresolved,1132,applications,
2011_2012,region_southwestern,total_unresolved,1949,applications,
2011_2012,region_torontoNorth,total_unresolved,936,applications,
2011_2012,region_torontoEast,total_unresolved,2128,applications,
2011_2012,region_torontoSouth,total_unresolved,1489,applications,
2012_2013,region_central,total_unresolved,,applications,
2012_2013,region_eastern,total_unresolved,,applications,
2012_2013,region_northern,total_unresolved,,applications,
2012_2013,region_southern,total_unresolved,,applications,
2012_2013,region_southwestern,total_unresolved,,applications,
2012_2013,region_torontoNorth,total_unresolved,,applications,
2012_2013,region_torontoEast,total_unresolved,,applications,
2012_2013,region_torontoSouth,total_unresolved,,applications,
2013_2014,region_central,total_unresolved,867,applications,
2013_2014,region_eastern,total_unresolved,875,applications,
2013_2014,region_northern,total_unresolved,360,applications,
2013_2014,region_southern,total_unresolved,960,applications,
2013_2014,region_southwestern,total_unresolved,1482,applications,
2013_2014,region_torontoNorth,total_unresolved,1071,applications,
2013_2014,region_torontoEast,total_unresolved,1470,applications,
2013_2014,region_torontoSouth,total_unresolved,1412,applications,
