report_id,app_code,description,metric_id,value,data_status
2001_2002,L6,Review of Provincial Work Order,cases,22,reported
2001_2002,L6,Review of Provincial Work Order,defaults,0,reported
2001_2002,L6,Review of Provincial Work Order,hearings,23,reported
2001_2002,L7,Transfer Tenant to Care Home,cases,120,reported
2001_2002,L7,Transfer Tenant to Care Home,defaults,0,reported
2001_2002,L7,Transfer Tenant to Care Home,hearings,1,reported
2001_2002,L8,Tenant Changed Locks,cases,73,reported
2001_2002,L8,Tenant Changed Locks,defaults,0,reported
2001_2002,L8,Tenant Changed Locks,hearings,55,reported
2001_2002,T1,Rent Rebate (eg. Illegal rent),cases,677,reported
2001_2002,T1,Rent Rebate (eg. Illegal rent),defaults,57,reported
2001_2002,T1,Rent Rebate (eg. Illegal rent),hearings,396,reported
2001_2002,T2,Tenant Rights,cases,3017,reported
2001_2002,T2,Tenant Rights,defaults,0,reported
2001_2002,T2,Tenant Rights,hearings,2174,reported
2001_2002,T3,Rent Reduction,cases,152,reported
2001_2002,T3,Rent Reduction,defaults,0,reported
2001_2002,T3,Rent Reduction,hearings,89,reported
2001_2002,T4,Failed Rent Increase Above Guidelines,cases,-,reported
2001_2002,T4,Failed Rent Increase Above Guidelines,defaults,-,reported
2001_2002,T4,Failed Rent Increase Above Guidelines,hearings,-,reported
2001_2002,T5,Bad Faith Notice of Termination,cases,147,reported
2001_2002,T5,Bad Faith Notice of Termination,defaults,0,reported
2001_2002,T5,Bad Faith Notice of Termination,hearings,104,reported
2001_2002,T6,Maintenance,cases,1153,reported
2001_2002,T6,Maintenance,defaults,0,reported
2001_2002,T6,Maintenance,hearings,875,reported
2002_2003,A1,Determine Whether Act Applies,cases,74,reported
2002_2003,A1,Determine Whether Act Applies,defaults,0,reported
2002_2003,A1,Determine Whether Act Applies,hearings,60,reported
2002_2003,A2,Sublet or Assignment,cases,465,reported
2002_2003,A2,Sublet or Assignment,defaults,62,reported
2002_2003,A2,Sublet or Assignment,hearings,199,reported
2002_2003,A3,Combined Application,cases,3558,reported
2002_2003,A3,Combined Application,defaults,530,reported
2002_2003,A3,Combined Application,hearings,2632,reported
2002_2003,A4,Vary Rent Reduction Amount,cases,279,reported
2002_2003,A4,Vary Rent Reduction Amount,defaults,8,reported
2002_2003,A4,Vary Rent Reduction Amount,hearings,248,reported
2002_2003,L1,Termination for Non-Payment of Rent,cases,48816,reported
2002_2003,L1,Termination for Non-Payment of Rent,defaults,26766,reported
2002_2003,L1,Termination for Non-Payment of Rent,hearings,19181,reported
2002_2003,L2,Terminate Tenancy & Evict,cases,6412,reported
2002_2003,L2,Terminate Tenancy & Evict,defaults,1257,reported
2002_2003,L2,Terminate Tenancy & Evict,hearings,4107,reported
2002_2003,L3,Termination: Tenant Gave Notice,cases,1062,reported
2002_2003,L3,Termination: Tenant Gave Notice,defaults,839,reported
2002_2003,L3,Termination: Tenant Gave Notice,hearings,383,reported
2002_2003,L4,Terminate Tenancy: Failed Settlement,cases,1775,reported
2002_2003,L4,Terminate Tenancy: Failed Settlement,defaults,1512,reported
2002_2003,L4,Terminate Tenancy: Failed Settlement,hearings,617,reported
2002_2003,L5,Rent Increase Above Guidelines,cases,471,reported
2002_2003,L5,Rent Increase Above Guidelines,defaults,1,reported
2002_2003,L5,Rent Increase Above Guidelines,hearings,1253,reported
2002_2003,L6,Review of Provincial Work Order,cases,12,reported
2002_2003,L6,Review of Provincial Work Order,defaults,0,reported
2002_2003,L6,Review of Provincial Work Order,hearings,14,reported
2002_2003,L7,Transfer Tenant to Care Home,cases,-,reported
2002_2003,L7,Transfer Tenant to Care Home,defaults,-,reported
2002_2003,L7,Transfer Tenant to Care Home,hearings,-,reported
2002_2003,L8,Tenant Changed Locks,cases,23,reported
2002_2003,L8,Tenant Changed Locks,defaults,0,reported
2002_2003,L8,Tenant Changed Locks,hearings,18,reported
2002_2003,T1,Rent Rebate (eg. Illegal rent),cases,661,reported
2002_2003,T1,Rent Rebate (eg. Illegal rent),defaults,36,reported
2002_2003,T1,Rent Rebate (eg. Illegal rent),hearings,514,reported
2002_2003,T2,Tenant Rights,cases,3043,reported
2002_2003,T2,Tenant Rights,defaults,5,reported
2002_2003,T2,Tenant Rights,hearings,2138,reported
2002_2003,T3,Rent Reduction,cases,110,reported
2002_2003,T3,Rent Reduction,defaults,0,reported
2002_2003,T3,Rent Reduction,hearings,70,reported
2002_2003,T4,Failed Rent Increase Above Guidelines,cases,3,reported
2002_2003,T4,Failed Rent Increase Above Guidelines,defaults,0,reported
2002_2003,T4,Failed Rent Increase Above Guidelines,hearings,1,reported
2002_2003,T5,Bad Faith Notice of Termination,cases,149,reported
2002_2003,T5,Bad Faith Notice of Termination,defaults,0,reported
2002_2003,T5,Bad Faith Notice of Termination,hearings,118,reported
2002_2003,T6,Maintenance,cases,1205,reported
2002_2003,T6,Maintenance,defaults,0,reported
2002_2003,T6,Maintenance,hearings,861,reported
2003_2004,A1,Determine Whether Act Applies,cases,79,reported
2003_2004,A1,Determine Whether Act Applies,defaults,0,reported
2003_2004,A1,Determine Whether Act Applies,hearings,66,reported
2003_2004,A2,Sublet or Assignment,cases,244,reported
2003_2004,A2,Sublet or Assignment,defaults,50,reported
2003_2004,A2,Sublet or Assignment,hearings,151,reported
2003_2004,A3,Combined Application,cases,3801,reported
2003_2004,A3,Combined Application,defaults,555,reported
2003_2004,A3,Combined Application,hearings,2767,reported
2003_2004,A4,Vary Rent Reduction Amount,cases,213,reported
2003_2004,A4,Vary Rent Reduction Amount,defaults,1,reported
2003_2004,A4,Vary Rent Reduction Amount,hearings,276,reported
2003_2004,L1,Termination for Non-Payment of Rent,cases,51207,reported
2003_2004,L1,Termination for Non-Payment of Rent,defaults,31422,reported
2003_2004,L1,Termination for Non-Payment of Rent,hearings,18583,reported
2003_2004,L2,Terminate Tenancy & Evict,cases,5495,reported
2003_2004,L2,Terminate Tenancy & Evict,defaults,1109,reported
2003_2004,L2,Terminate Tenancy & Evict,hearings,3598,reported
2003_2004,L3,Termination: Tenant Gave Notice,cases,1054,reported
2003_2004,L3,Termination: Tenant Gave Notice,defaults,798,reported
2003_2004,L3,Termination: Tenant Gave Notice,hearings,385,reported
2003_2004,L4,Terminate Tenancy: Failed Settlement,cases,2311,reported
2003_2004,L4,Terminate Tenancy: Failed Settlement,defaults,2039,reported
2003_2004,L4,Terminate Tenancy: Failed Settlement,hearings,768,reported
2003_2004,L5,Rent Increase Above Guidelines,cases,292,reported
2003_2004,L5,Rent Increase Above Guidelines,defaults,2,reported
2003_2004,L5,Rent Increase Above Guidelines,hearings,457,reported
2003_2004,L6,Review of Provincial Work Order,cases,13,reported
2003_2004,L6,Review of Provincial Work Order,defaults,0,reported
2003_2004,L6,Review of Provincial Work Order,hearings,9,reported
2003_2004,L7,Transfer Tenant to Care Home,cases,2,reported
2003_2004,L7,Transfer Tenant to Care Home,defaults,0,reported
2003_2004,L7,Transfer Tenant to Care Home,hearings,1,reported
2003_2004,L8,Tenant Changed Locks,cases,15,reported
2003_2004,L8,Tenant Changed Locks,defaults,0,reported
2003_2004,L8,Tenant Changed Locks,hearings,9,reported
2003_2004,T1,Rent Rebate (eg. Illegal rent),cases,589,reported
2003_2004,T1,Rent Rebate (eg. Illegal rent),defaults,43,reported
2003_2004,T1,Rent Rebate (eg. Illegal rent),hearings,411,reported
2003_2004,T2,Tenant Rights,cases,3168,reported
2003_2004,T2,Tenant Rights,defaults,0,reported
2003_2004,T2,Tenant Rights,hearings,2250,reported
2003_2004,T3,Rent Reduction,cases,69,reported
2003_2004,T3,Rent Reduction,defaults,0,reported
2003_2004,T3,Rent Reduction,hearings,58,reported
2003_2004,T4,Failed Rent Increase Above Guidelines,cases,2,reported
2003_2004,T4,Failed Rent Increase Above Guidelines,defaults,0,reported
2003_2004,T4,Failed Rent Increase Above Guidelines,hearings,1,reported
2003_2004,T5,Bad Faith Notice of Termination,cases,119,reported
2003_2004,T5,Bad Faith Notice of Termination,defaults,0,reported
2003_2004,T5,Bad Faith Notice of Termination,hearings,111,reported
2003_2004,T6,Maintenance,cases,1331,reported
2003_2004,T6,Maintenance,defaults,0,reported
2003_2004,T6,Maintenance,hearings,932,reported
2004_2005,A1,Determine Whether Act Applies,cases,60,reported
2004_2005,A1,Determine Whether Act Applies,defaults,0,reported
2004_2005,A1,Determine Whether Act Applies,hearings,46,reported
2004_2005,A2,Sublet or Assignment,cases,237,reported
2004_2005,A2,Sublet or Assignment,defaults,62,reported
2004_2005,A2,Sublet or Assignment,hearings,134,reported
2004_2005,A3,Combined Application,cases,3801,reported
2004_2005,A3,Combined Application,defaults,551,reported
2004_2005,A3,Combined Application,hearings,2630,reported
