report_id,application_family,description,party_type,filings,share_of_total
2008_2009,A3,Combined Application,mixed_other,4255,0.04956896551724138
2008_2009,A4,Vary the Amount of a Rent Reduction,mixed_other,5,5.824790307548928e-05
2008_2009,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,59053,0.6879426840633737
2008_2009,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2008_2009,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,6535,0.07613000931966449
2008_2009,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1263,0.014713420316868593
2008_2009,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,6510,0.07583876980428704
2008_2009,L5,Rent Increase Above the Guideline (AGI),landlord,228,0.0026561043802423114
2008_2009,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,10,0.00011649580615097856
2008_2009,L7,Transfer a Care Home Tenant,landlord,1,1.1649580615097857e-05
2008_2009,L8,Tenant Changed the Locks,landlord,20,0.00023299161230195712
2008_2009,L9,Collect Rent the Tenant Owes,landlord,1692,0.019711090400745573
2008_2009,T1,Application for a Rebate,tenant,654,0.0076188257222739985
2008_2009,T2,Tenant Rights,tenant,3632,0.042311276794035416
2008_2009,T3,Rent Reduction,tenant,47,0.0005475302889095992
2008_2009,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.1649580615097857e-05
2008_2009,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,129,0.0015027958993476234
2008_2009,T6,Maintenance,tenant,1462,0.017031686859273067
2008_2009,T7,Suite Meters,tenant,0,0.0
2009_2010,A1,Determine Whether the Act Applies,mixed_other,82,0.0010503125320217236
2009_2010,A2,Sublet or an Assignment,mixed_other,196,0.002510503125320217
2009_2010,A3,Combined Application,mixed_other,3937,0.05042781022645763
2009_2010,A4,Vary the Amount of a Rent Reduction,mixed_other,277,0.0035480069679270417
2009_2010,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,54109,0.6930653755507736
2009_2010,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2009_2010,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,5628,0.07208730402705195
2009_2010,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,991,0.012693411210164976
2009_2010,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5301,0.06789886258837996
2009_2010,L5,Rent Increase Above the Guideline (AGI),landlord,294,0.003765754687980326
2009_2010,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,12,0.0001537042729787888
2009_2010,L7,Transfer a Care Home Tenant,landlord,3,3.84260682446972e-05
2009_2010,L8,Tenant Changed the Locks,landlord,22,0.0002817911671277795
2009_2010,L9,Collect Rent the Tenant Owes,landlord,1754,0.022466441233732964
2009_2010,T1,Application for a Rebate,tenant,574,0.007352187724152065
2009_2010,T2,Tenant Rights,tenant,3517,0.04504816067220002
2009_2010,T3,Rent Reduction,tenant,43,0.0005507736448406599
2009_2010,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,2,2.5617378829798134e-05
2009_2010,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,115,0.0014729992827133929
2009_2010,T6,Maintenance,tenant,1215,0.015562557639102368
2009_2010,T7,Suite Meters,tenant,0,0.0
2010_2011,A1,Determine Whether the Act Applies,mixed_other,78,0.001007843086584058
2010_2011,A2,Sublet or an Assignment,mixed_other,248,0.0032044241727287996
